N°	Fecha	Último	Apertura	Máximo	Mínimo	Vol.	% var.						
1	01.04.2020	240.91	246.5	248.72	239.13	44.05M	-5.26%		5.59				
2	02.04.2020	244.93	240.34	245.15	236.9	41.48M	1.67%			-0.57	-4.59	-1.07	-2.46
3	03.04.2020	241.41	242.8	245.7	238.97	32.47M	-1.44%						
4	06.04.2020	262.47	250.9	263.11	249.38	50.46M	8.72%						
5	07.04.2020	259.43	270.8	271.7	259	50.72M	-1.16%						
6	08.04.2020	266.07	262.74	267.37	261.23	42.22M	2.56%						
7	09.04.2020	267.99	268.7	270.07	264.7	40.53M	0.72%						
8	13.04.2020	273.25	268.31	273.7	265.83	32.76M	1.96%						
9	14.04.2020	287.05	280	288.25	278.05	48.75M	5.05%						
10	15.04.2020	284.43	282.4	286.33	280.63	32.79M	-0.91%						
11	16.04.2020	286.69	287.38	288.2	282.35	39.28M	0.79%						
12	17.04.2020	282.8	284.69	286.95	276.86	53.81M	-1.36%						
13	20.04.2020	276.93	277.95	281.68	276.85	32.50M	-2.08%						
14	21.04.2020	268.37	276.28	277.25	265.43	45.25M	-3.09%						
15	22.04.2020	276.1	273.61	277.9	272.2	29.26M	2.88%						
16	23.04.2020	275.03	275.87	281.75	274.87	31.20M	-0.39%						
17	24.04.2020	282.97	277.2	283.01	277	31.63M	2.89%						
18	27.04.2020	283.17	281.8	284.54	279.95	29.27M	0.07%						
19	28.04.2020	278.58	285.08	285.83	278.2	28.00M	-1.62%						
20	29.04.2020	287.73	284.73	289.67	283.89	34.32M	3.28%						
21	30.04.2020	293.8	289.96	294.53	288.35	45.77M	2.11%						
